NAME,Median Age by Sex,Total Population,White,Black/African American,American Indian/Alaskan,Asian,Hawaiian/Pacific Islander,Some Other Race,Two or More Races,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Disabled Population,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Income Category,Poverty Rate (%),Poverty Rate Classification,Total Degrees,Degree Percentage (%),Degree Attainment,POC Population (%),POC Population Category,White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%),Disabled Population Category,state,county
"Madison County, Idaho",21.6,52487,46754,487,158,949,65,1376,2698,23769,28718,33843,24004,659,788,121,2521,413,1059,3872,2372,4845,1406,229,371,53025,13963,3473,3.5,5.5,11.9,10,16.1,19.3,10.4,14.5,3.8,5,Medium,26.602777830700937,High Poverty,6851,13.05275592051365,Low Degree Attainment,10.798864480728561,Medium,89.07729533027225,0.9278488006554003,1.808066759388039,0.12384018899918076,0.30102692095185474,2.6216015394288106,5.140320460304457,6.616876559910073,Low,16,65
"Minidoka County, Idaho",34.9,21626,16509,21,296,30,0,2490,2280,10930,10696,10544,6814,875,1693,282,3985,889,1101,1647,1177,1213,544,314,70,63594,3229,2659,2.4,6.7,8.7,9.3,12,21.3,11.8,18,5.9,4,Medium,14.931101451955978,Low Poverty,2141,9.900120225654305,Low Degree Attainment,23.66133357995006,High,76.33866642004993,0.097105336,0.13872190881346527,0,1.3687228336261907,11.513918431517618,10.54286506982336,12.29538518450014,Low,16,67
"Nez Perce County, Idaho",40.7,42200,37453,44,2103,374,27,290,1909,21000,21200,22936,13141,2686,4859,368,7032,1732,2576,5174,3331,5147,1468,280,673,65023,5749,7340,5.3,4.8,8.1,11.2,11.1,14.9,13.4,18.1,8.2,5,Medium,13.623222748815166,Low Poverty,7568,17.933649289099527,Medium Degree Attainment,11.18483412322275,Medium,88.75118483412322,0.1042654028436019,0.886255924,0.063981043,4.983412322274881,0.6872037914691943,4.523696682464455,17.393364928909953,Medium,16,69
"Oneida County, Idaho",39.7,4572,4283,0,31,0,0,63,195,2315,2257,2058,1437,282,304,35,913,220,197,489,218,525,165,3,3,67383,611,688,6.8,4.6,7.9,5.3,17.9,12.7,21.3,13.4,7,3.3,Medium,13.36395450568679,Low Poverty,696,15.223097112860891,Medium Degree Attainment,6.321084864391952,Low,93.67891513560805,0,0,0,0.6780402449693788,1.3779527559055118,4.2650918635170605,15.04811898512686,Medium,16,71
"Owyhee County, Idaho",38.9,12043,8934,45,429,16,0,1497,1122,6238,5805,6056,3851,540,949,193,2169,573,615,1170,448,847,218,4,45,58440,1560,2074,3.9,4.2,9.8,11,14.1,19.3,17.5,14.5,2.5,3.4,Medium,12.95358299427053,Low Poverty,1114,9.250186830523957,Low Degree Attainment,25.815826621273768,High,74.18417337872623,0.3736610479116499,0.13285726147969776,0,3.562235323424396,12.430457527194221,9.316615461263805,17.22162251930582,Medium,16,73
"Payette County, Idaho",40,25571,21228,20,224,201,5,1374,2519,12729,12842,12650,8249,1471,2225,438,4881,988,1686,2192,1472,2481,726,154,78,62721,2663,4289,4.6,2.6,6,8.7,15.7,23.4,11.6,18.5,3.6,5.3,Medium,10.414141019123226,Low Poverty,3439,13.448828751319855,Low Degree Attainment,16.964530131789918,Medium,83.01591646787377,0.078213601,0.7860466935200032,0.019553400336318486,0.8759923350670681,5.3732744124203204,9.851003089437253,16.77290681,Medium,16,75
"Power County, Idaho",35.3,7918,5635,3,261,0,0,1386,633,3982,3936,3711,2464,336,535,24,1363,188,310,1179,327,473,177,43,17,56671,875,943,3.9,5.6,3.3,16.6,15,19.7,12.3,18.2,4.8,0.7,Medium,11.05077039656479,Low Poverty,710,8.966910836069715,Low Degree Attainment,28.83303864612276,High,71.16696135387724,0.037888356,0,0,3.296286941146754,17.504420308158625,7.994443041172013,11.909573124526396,Low,16,77
"Shoshone County, Idaho",46.1,13399,12218,115,242,4,43,43,734,6666,6733,7250,3658,1001,2232,167,2733,842,623,2163,1056,675,275,108,72,44807,2098,3354,5.8,6,13.6,12.7,18.9,15.4,11.1,10.8,3.9,1.7,Low,15.657884916784834,Low Poverty,1130,8.433465183968952,Low Degree Attainment,8.493171132174043,Low,91.1859094,0.8582730054481678,0.029852974102544966,0.3209194716023584,1.8061049332039705,0.3209194716023584,5.478020747817001,25.03171878498395,High,16,79
"Teton County, Idaho",38.6,11813,9911,0,155,0,0,905,842,6046,5767,6400,3774,426,960,20,1233,242,340,1226,733,2754,830,205,47,88906,1178,663,3,3.6,4.1,6.6,4.6,18.5,14.8,19.1,13,12.7,High,9.972064674511131,Low Poverty,3836,32.47269956827224,High Degree Attainment,16.10090578176585,Medium,83.89909421823415,0,0,0,1.3121137729619912,7.661051384068399,7.127740624735461,5.612460848218065,Low,16,81
"Twin Falls County, Idaho",35.5,90592,75594,494,468,1429,3,4701,7903,45073,45519,45860,27875,4237,8384,1306,13257,3230,5305,8754,6569,8180,3898,885,762,61183,11126,12053,2.3,5.1,8.7,10.4,12.8,21.1,12.7,15.8,6.1,5,Medium,12.281437654539031,Low Poverty,13725,15.150344401271635,Medium Degree Attainment,16.552234192864713,Medium,83.44445425644649,0.5453020134228188,1.5774019780996116,0.003311551,0.5166019074531968,5.1891999293535855,8.723728365,13.304706817379017,Low,16,83
"Valley County, Idaho",48.9,11830,11577,7,1,6,9,76,154,6165,5665,6469,3659,746,1309,41,2258,239,747,1108,880,2184,789,272,134,72878,1628,1596,5.3,4.2,10.6,10,7.4,15.8,10.3,16.1,8.9,11.3,High,13.761622992392223,Low Poverty,3379,28.562975486052412,High Degree Attainment,2.0625528317836013,Low,97.86136939983093,0.059171598,0.050718512,0.076077768,0.008453085,0.6424344885883347,1.301775147928994,13.491124260355031,Low,16,85
"Washington County, Idaho",44.7,10612,8973,20,34,14,25,714,832,5264,5348,5471,3365,612,1310,152,1917,385,656,1551,917,863,341,54,46,50046,1894,1929,7.6,7.1,11.6,9.9,13.7,24,8.4,11.2,2.8,3.7,Low,17.84771956275914,Low Poverty,1304,12.287975876366378,Low Degree Attainment,15.209197135318508,Medium,84.55522050508858,0.18846588767433095,0.13192612137203166,0.23558235959291368,0.3203920090463626,6.728232189973616,7.840180927252168,18.17753486618922,Medium,16,87
"Adams County, Illinois",41.3,65583,59980,2578,40,487,9,239,2250,32311,33272,35373,21005,3691,6323,652,13919,1846,4271,5824,4466,8164,3268,517,344,63767,7731,10961,5.4,3.3,9.2,8.9,11.9,19.2,14.2,16.8,6.5,4.6,Medium,11.788115822697955,Low Poverty,12293,18.744186755714136,Medium Degree Attainment,8.529649451839653,Low,91.45662747968224,3.930896726285775,0.7425704832044889,0.013723068478111704,0.060991415458274245,0.36442370736318863,3.430767119527926,16.71317262,Medium,17,1
"Alexander County, Illinois",44.9,5261,3340,1748,0,13,16,0,144,2561,2700,2928,1534,414,777,13,1267,305,437,566,283,222,146,21,0,40365,1103,1234,8.5,10.8,13.8,10.4,14.2,18.7,10.5,7.8,3.8,1.6,Low,20.965595894316667,High Poverty,389,7.394031552936704,Low Degree Attainment,36.20984603687512,High,63.486029272001524,33.22562250522714,0.24710131153773046,0.3041246911233606,0,0,2.737122220110245,23.455616802889185,Medium,17,3
"Bond County, Illinois",40,16750,14858,1195,136,77,0,55,429,8893,7857,9773,4962,867,2013,159,3118,614,1123,1830,1118,1404,806,67,145,58617,2187,2739,5.9,4.7,7.8,6.7,17.2,17.5,13,17.7,5.7,3.7,Medium,13.056716417910447,Low Poverty,2422,14.459701492537313,Low Degree Attainment,11.295522388059702,Medium,88.70447761,7.134328358208955,0.4597014925373134,0,0.8119402985074627,0.3283582089552239,2.5611940298507463,16.35223880597015,Medium,17,5
"Boone County, Illinois",39,53459,42419,1384,144,502,0,4690,4320,26938,26521,29213,17862,2318,4601,822,9740,1656,3040,4865,2792,5325,2364,561,220,80502,5150,7001,3.8,2.6,5.5,7.7,11.7,14.7,12.9,21.7,10.1,9.2,High,9.633550945584467,Low Poverty,8470,15.843917768757365,Medium Degree Attainment,20.651340279466506,High,79.34865972053349,2.5888999045997867,0.9390373931424082,0,0.2693653079930414,8.773078433940029,8.080959239791243,13.09601750874502,Low,17,7
"Brown County, Illinois",38.5,6334,4956,1053,32,3,0,156,134,3992,2342,3848,1519,375,712,96,1453,388,346,504,360,496,127,13,10,64760,465,924,1.8,6.5,12.1,5.8,13.7,21.3,14.2,19.7,2.9,1.9,Medium,7.341332491316703,Low Poverty,646,10.198926428796968,Low Degree Attainment,21.755604673192295,High,78.24439533,16.624565835175247,0.047363435,0,0.5052099778970635,2.4628986422481844,2.1155667824439535,14.587938111777706,Low,17,9
"Bureau County, Illinois",44,33203,30017,204,20,305,0,1296,1361,16455,16748,18062,10804,2016,3498,531,6992,1258,2545,3178,2321,3356,1332,266,124,64165,4128,4655,3.8,4.7,9.1,8.3,13,18.7,13,17.5,5.8,6,Medium,12.432611511008043,Low Poverty,5078,15.293798753124719,Medium Degree Attainment,9.595518477246031,Low,90.40448152275397,0.6144023130440021,0.9185916935216698,0,0.060235521,3.9032617534560132,4.099027196337681,14.019817486371714,Low,17,11
"Calhoun County, Illinois",48.1,4472,4255,33,11,1,0,0,172,2298,2174,2578,1307,274,408,4,1099,87,233,350,603,452,140,23,24,88059,364,934,3.3,3.5,5.9,5.6,6.6,15.9,15.1,25,8,11,High,8.139534884,Low Poverty,639,14.288908765652952,Low Degree Attainment,4.852415026833631,Low,95.14758497316636,0.7379248658318426,0.022361359570661897,0,0.24597495527728086,0,3.8461538461538463,20.88550983899821,Medium,17,13
"Carroll County, Illinois",45,15594,14262,533,41,103,0,103,552,8383,7211,8899,4572,877,1592,189,3430,672,1159,1702,1008,1553,481,52,50,61539,1641,2304,4.4,3.4,7.9,11.4,12,20.4,13.8,16.7,6.2,3.8,Medium,10.523278183916892,Low Poverty,2136,13.697575990765678,Low Degree Attainment,8.541746825702193,Low,91.45825317429781,3.417981274849301,0.6605104527382327,0,0.2629216365268693,0.6605104527382327,3.5398230088495577,14.774913428241632,Low,17,15
"Cass County, Illinois",38.8,12955,10644,467,119,98,101,667,859,6557,6398,6911,4068,898,949,114,3153,566,585,899,642,1249,366,37,28,64826,1577,2028,4.5,5.4,8.9,8.3,10.9,20,16.2,16.6,5.8,3.4,Medium,12.172906213817058,Low Poverty,1680,12.96796603627943,Low Degree Attainment,17.059050559629487,Medium,82.16132767271324,3.604785796989579,0.7564646854496333,0.7796217676572752,0.9185642609031262,5.148591277499035,6.630644538788112,15.654187572365883,Medium,17,17
"Champaign County, Illinois",30.8,206525,141142,27268,251,22693,88,3282,11801,103245,103280,130338,74711,6845,15452,1293,22303,4153,7922,14110,10549,24912,18368,3665,7970,61090,35991,20067,11.4,3.2,7.7,8.1,11.5,16.3,11.2,15.2,7.1,8.2,Medium,17.426945890328046,Low Poverty,54915,26.590001210507204,High Degree Attainment,31.616027115361334,High,68.34136303111003,13.203244159302749,10.988015978695072,0.042609854,0.12153492313279263,1.5891538554654399,5.714078198765283,9.716499213170318,Low,17,19
"Christian County, Illinois",42.2,33893,31947,889,47,232,6,115,657,17737,16156,18811,9950,2318,4264,459,9231,1365,1943,2780,2335,2981,831,104,226,56933,3816,4855,6.5,5.1,9.7,9.3,13.5,19.4,13.3,14.3,4.7,4,Medium,11.258962027557311,Low Poverty,4142,12.220812557165196,Low Degree Attainment,5.7238957896910865,Low,94.25840143982533,2.622960493317204,0.6845071253651197,0.017702770483580682,0.138671702,0.33930310093529636,1.9384533679520846,14.324491782964033,Low,17,21
"Clark County, Illinois",41.4,15467,14875,129,7,28,0,7,421,7715,7752,8061,4810,935,1533,182,3399,398,874,1028,1589,1790,726,74,35,65874,1371,2041,2.8,3.6,9.5,8.5,13.7,17.5,13.9,20.8,5.5,4.2,Medium,8.864033102734854,Low Poverty,2625,16.971616991013125,Medium Degree Attainment,3.8275037175922932,Low,96.17249628,0.834033749,0.18103058123747334,0,0.045257645309368336,0.045257645309368336,2.721924096463438,13.195836296631539,Low,17,23
"Clay County, Illinois",41.8,13248,12648,61,73,42,0,30,394,6650,6598,6995,4067,904,1651,75,2640,835,842,1082,1367,890,295,122,82,58028,2048,2412,3.9,4.4,11.9,9.5,12.9,20.7,13.1,14.9,4.5,4.3,Medium,15.458937198067632,Low Poverty,1389,10.484601449275361,Low Degree Attainment,4.528985507246377,Low,95.47101449275362,0.46044685990338163,0.3170289855072464,0,0.5510265700483092,0.22644927536231885,2.9740338164251208,18.206521739130434,Medium,17,25
"Clinton County, Illinois",41,36998,34000,1101,15,225,0,309,1348,19318,17680,20127,11706,1862,2900,309,7401,1289,2024,3064,4221,4352,1560,206,94,78054,2531,5115,3.3,3.1,5,8.4,10.1,17.5,15.4,20.7,9,7.5,High,6.840910319476729,Low Poverty,6212,16.790096761987133,Medium Degree Attainment,8.103140710308665,Low,91.89685928969133,2.975836531704416,0.6081409805935456,0,0.040542732,0.83518028,3.6434401859559977,13.82507162549327,Low,17,27
"Coles County, Illinois",37.4,47076,43057,1701,30,501,0,349,1438,23095,23981,27897,16064,2587,5244,238,7924,1783,2454,4303,3350,4881,2404,461,481,53732,8465,7974,7.5,5,10.9,9.4,14.7,17.8,12.6,13.4,5.1,3.7,Medium,17.98156172996856,Low Poverty,8227,17.47599626,Medium Degree Attainment,8.537258900501318,Low,91.46274109949869,3.6133061432577107,1.0642365536579148,0,0.06372674,0.7413544056419407,3.054635058203756,16.938567422890642,Medium,17,29
"Cook County, Illinois",37.5,5225367,2580789,1189365,31616,402605,2500,550678,467814,2554641,2670726,3135772,1842405,233521,366610,81511,707294,105888,193116,455218,246535,874091,446799,118884,62940,78304,687906,558448,6,3.9,6.8,7.1,9.7,14.6,12.4,16.8,9.3,13.4,High,13.164740390483578,Low Poverty,1502714,28.758056611143296,High Degree Attainment,50.56253465067621,High,49.38962181986452,22.76136776613011,7.704817671179843,0.047843529,0.6050484109537186,10.538551646228868,8.952749156183671,10.68724933578828,Low,17,31
"Crawford County, Illinois",42.2,18729,17245,845,148,66,0,45,380,9989,8740,10074,5743,1071,1850,126,2998,888,1024,1895,2667,1669,769,79,53,64163,1632,2744,6.4,4.1,9.5,6.8,9.9,22.1,12.2,16.3,8.4,4.2,Medium,8.713759410539804,Low Poverty,2570,13.722035346254472,Low Degree Attainment,7.923541032623205,Low,92.07645897,4.511719792834641,0.3523946820438892,0,0.7902183779165999,0.2402691013935608,2.0289390784345134,14.651075871642908,Low,17,33
"Cumberland County, Illinois",42.6,10447,10053,12,0,8,0,149,225,5400,5047,5429,3349,639,787,39,2517,372,676,820,1220,884,375,36,19,71274,1000,1494,2.9,2.7,5.3,12.3,11.1,17.5,18.5,18,8.8,2.8,High,9.572125969177755,Low Poverty,1314,12.57777352349957,Low Degree Attainment,3.7714176318560355,Low,96.22858236814396,0.11486551163013305,0.076577008,0,0,1.4262467694074854,2.1537283430649947,14.300756197951564,Low,17,35
"DeKalb County, Illinois",31.8,100686,79772,7734,418,2424,25,3757,6556,50029,50657,60261,35369,3927,7482,770,12591,2317,4972,9201,6200,12450,6161,738,1032,68617,14841,11012,7.1,3.9,8,7.7,10.4,17.2,13.3,17.6,8.5,6.4,Medium,14.739884393063585,Low Poverty,20381,20.242138926961047,Medium Degree Attainment,20.74667779035814,High,79.22849254,7.6813062391990945,2.407484655264883,0.024829668,0.4151520568897364,3.731402578312774,6.511332260691654,10.936972369544922,Low,17,37
"De Witt County, Illinois",44,15535,14790,142,49,30,0,92,432,7822,7713,8329,5164,727,1622,137,3829,750,916,1694,864,1586,575,154,66,61823,1557,2009,4.2,3.3,8.4,10,12.9,18.6,14.4,20.2,3.4,4.7,Medium,10.022529771483747,Low Poverty,2381,15.326681686514323,Medium Degree Attainment,4.795622787254587,Low,95.20437721274541,0.9140650144834246,0.1931123270035404,0,0.3154168007724493,0.5922111361441906,2.7808175088509817,12.932088831670422,Low,17,39
"Douglas County, Illinois",38.6,19714,18207,243,72,116,0,237,839,9766,9948,10178,6319,1081,1583,152,3865,629,1033,1641,1433,1847,570,116,101,67177,1833,2590,3.5,3,8.9,9.5,11.1,19.6,13.9,19.6,6.2,4.8,Medium,9.297960840012175,Low Poverty,2634,13.361063203814549,Low Degree Attainment,7.644313686,Low,92.35568631,1.2326265598052146,0.5884143248452876,0,0.3652226843867303,1.2021913361063203,4.255858780562037,13.13787156335599,Low,17,41
"DuPage County, Illinois",39.9,930559,651437,45625,2746,116819,361,42819,70752,461287,469272,510175,324386,39550,62164,9450,102334,13676,35636,72803,48302,195110,97112,22698,13366,107035,57674,76195,3.2,1.6,3.9,4.6,7.4,13.7,12.7,19.8,12.8,20.4,Very High,6.197780044038046,Low Poverty,328286,35.27836493978351,High Degree Attainment,29.956295087146543,High,70.00491103,4.902966926331377,12.553637114895455,0.038793886,0.2950914450346512,4.601427743968948,7.603171856916112,8.188089094834396,Low,17,43
"Edgar County, Illinois",46,16852,16292,113,6,66,2,139,234,8364,8488,8941,5787,871,1779,251,4001,819,919,1640,1184,1661,551,79,36,56687,1946,2942,6.2,3.8,8.1,10.4,15,20.3,17.1,12,3.5,3.6,Medium,11.547590790410634,Low Poverty,2327,13.808450035604084,Low Degree Attainment,3.311179681936862,Low,96.67695229052931,0.6705435556610492,0.39164490861618795,0.011868027533823879,0.035604083,0.8248279136007595,1.3885592214573936,17.457868502254925,Medium,17,45
"Edwards County, Illinois",44.2,6182,5944,8,37,26,0,14,153,3064,3118,3150,1943,352,640,70,1248,248,403,662,787,436,134,6,27,60784,870,1133,4.7,4.4,10.3,8.3,12.4,21.5,13,19,4.3,2.1,Medium,14.073115496603043,Low Poverty,603,9.754124878680038,Low Degree Attainment,3.8498867680362343,Low,96.15011323196376,0.12940795858945325,0.42057586541572306,0,0.5985118084762213,0.2264639275315432,2.4749272080232934,18.327402135231317,Medium,17,47
"Effingham County, Illinois",39.3,34594,33404,224,17,235,0,188,526,17394,17200,18114,10903,1582,2984,217,6812,893,1906,3176,3249,4213,1275,548,122,73181,3680,4886,3.7,3.6,8.4,7.6,9.3,18.5,15.3,19.7,6.8,7.2,High,10.63768283517373,Low Poverty,6158,17.800774700815168,Medium Degree Attainment,3.439902873330635,Low,96.56009712666936,0.6475111290975314,0.6793085506157137,0,0.04914147,0.54344684,1.520494884,14.123836503439902,Low,17,49
"Fayette County, Illinois",42.1,21464,19364,742,95,100,92,51,1020,11334,10130,11707,6807,1267,2128,247,5118,1041,968,1980,1809,1629,493,110,22,51962,2964,3705,5.5,5.7,10.5,12,14.2,18.4,9.3,15.1,5.8,3.5,Medium,13.809168840849795,Low Poverty,2254,10.501304509877004,Low Degree Attainment,9.355199403652628,Low,90.21617592247483,3.456951174058889,0.46589638464405514,0.4286246738725307,0.4426015654118524,0.23760715616846814,4.752143123369363,17.261461051062245,Medium,17,51
"Ford County, Illinois",42,13484,12388,95,19,90,0,338,554,6760,6724,7176,4473,798,1302,178,2814,497,962,1526,920,1102,610,46,88,58930,1578,2019,7.1,5.2,7.6,10.1,13.9,17.6,13.6,15.3,5,4.6,Medium,11.70275883,Low Poverty,1846,13.690299614357757,Low Degree Attainment,8.128151884,Low,91.87184811628597,0.7045387125482053,0.6674577276772471,0,0.14090774250964105,2.5066745772767725,4.108573123702166,14.97330169089291,Low,17,53
"Franklin County, Illinois",43.2,37810,36128,154,24,99,0,77,1328,18902,18908,19712,11527,2520,4902,611,6919,1877,2800,4363,3336,3286,1068,204,155,51031,6626,7463,6.9,6.5,12.4,9.5,13.9,18.4,11.6,12.7,5.5,2.5,Low,17.524464427400158,Low Poverty,4713,12.464956360751124,Low Degree Attainment,4.448558582385612,Low,95.55144141761438,0.4072996561756149,0.26183549325575245,0,0.063475271,0.20364982808780746,3.512298333774134,19.738164506744248,Medium,17,55
"Fulton County, Illinois",43.6,33691,31409,902,223,103,0,301,753,17528,16163,19063,10019,1997,3636,373,7679,1476,2078,3470,2973,2980,1030,247,71,57223,4223,4475,5.8,3.4,7.7,12.1,14.2,19.2,13.5,14.7,5.7,3.9,Medium,12.53450476388353,Low Poverty,4328,12.846160695734765,Low Degree Attainment,6.773322252233534,Low,93.22667774776646,2.6772728621887154,0.3057196283874032,0,0.6618978362173874,0.8934136713068773,2.2350182541331516,13.282479000326497,Low,17,57
"Gallatin County, Illinois",46.9,4967,4673,15,21,6,0,4,248,2498,2469,2665,1519,393,644,137,1151,256,365,586,393,276,130,29,21,51868,950,1129,8.6,9.3,8.7,9.2,11,20.9,10.8,11.9,2.9,6.6,Medium,19.126233138715524,Low Poverty,456,9.180591907,Low Degree Attainment,5.919065834507751,Low,94.08093416549225,0.30199315482182404,0.12079726192872962,0,0.4227904167505537,0.080531508,4.9929534930541575,22.73001811958929,Medium,17,59
"Greene County, Illinois",42.7,12015,11619,105,10,25,1,54,201,6050,5965,6556,3790,811,1189,111,3513,366,629,1058,804,909,311,52,41,58900,1606,2053,5.3,3.9,10.8,10.3,11,20.8,11.6,15,5.4,5.9,Medium,13.36662505201831,Low Poverty,1313,10.928006658343739,Low Degree Attainment,3.2875572201414895,Low,96.70411985018727,0.8739076154806492,0.20807324178110698,0.00832293,0.083229297,0.44943820224719105,1.6729088639200997,17.086974615064502,Medium,17,61
"Grundy County, Illinois",38.8,52624,47693,954,51,314,0,1572,2040,26702,25922,27363,17225,2105,4650,570,10043,1160,2745,6289,3703,5864,2567,411,162,89993,3114,4600,2.3,1.6,6.2,5.7,9.8,15.5,14.9,20.8,11.1,12.1,High,5.917452113104287,Low Poverty,9004,17.110063849194283,Medium Degree Attainment,9.370249316,Low,90.62975068409851,1.8128610519914867,0.5966859227728794,0,0.096913956,2.987230161143205,3.8765582243843113,8.741258741258742,Low,17,63
"Hamilton County, Illinois",43,8008,7701,8,13,34,24,86,142,3965,4043,4235,2547,557,926,199,1488,263,448,1000,742,565,344,43,26,60574,1021,1745,3.9,4.7,14.2,6.7,11.6,19.2,14.2,15.9,6.2,3.3,Medium,12.74975024975025,Low Poverty,978,12.212787212787212,Low Degree Attainment,3.5339660339660335,Low,96.16633366633367,0.0999001,0.4245754245754246,0.2997002997002997,0.16233766233766234,1.073926073926074,1.7732267732267732,21.79070929070929,Medium,17,65
"Hancock County, Illinois",45.9,17582,16850,127,19,56,3,93,434,8916,8666,9156,5603,1177,1820,100,3803,568,1023,1855,1601,2154,738,133,86,61026,2272,3236,5.4,3.2,9.9,9.1,14.9,17.5,14,16.5,4.9,4.5,Medium,12.922306904788988,Low Poverty,3111,17.69423273802753,Medium Degree Attainment,4.146285974,Low,95.83665112046411,0.7223296553293141,0.3185075645546582,0.017062905243999546,0.10806506654533045,0.5289500625639859,2.468433625298601,18.405187123194175,Medium,17,67
"Hardin County, Illinois",53.9,3665,3585,40,0,0,0,7,33,1846,1819,1936,1139,350,611,43,990,147,283,413,415,201,97,44,17,53026,414,1062,4.1,9.7,5.8,15.9,13.2,21.8,11.9,11,4.5,2.2,Medium,11.296043656207368,Low Poverty,359,9.795361527967259,Low Degree Attainment,2.1828103683492497,Low,97.81718963165075,1.0914051841746248,0,0,0,0.19099590723055934,0.9004092769440655,28.976807639836288,High,17,69
"Henderson County, Illinois",49.6,6374,6088,11,2,0,0,78,195,3194,3180,3411,2033,563,549,60,1640,261,367,711,471,743,158,10,77,64946,575,1095,1.7,1.6,12.1,12.2,10.5,18.1,14.2,21.2,5.8,2.5,Medium,9.021022905553812,Low Poverty,988,15.50047066206464,Medium Degree Attainment,4.486978349545026,Low,95.51302165045497,0.1725760903671164,0,0,0.031377470975839344,1.2237213680577346,3.0593034201443365,17.17916535927204,Medium,17,71
"Henry County, Illinois",43.5,49157,44291,1079,11,229,14,1308,2225,24530,24627,26781,15454,3021,4506,558,10304,1585,2778,4808,4126,5767,2255,399,165,66313,4461,6554,4.1,3.8,7.1,7.5,14.6,18.1,12.3,18.3,7.4,6.6,Medium,9.075004577171104,Low Poverty,8586,17.46648493602132,Medium Degree Attainment,9.870415200276666,Low,90.10110462395996,2.195007832048335,0.4658543035579877,0.028480175763370426,0.022377280956933907,2.6608621356063225,4.526313648107085,13.332790853794984,Low,17,73
"Iroquois County, Illinois",44.5,27043,24509,272,24,74,0,1093,1071,13380,13663,14767,8526,1875,2891,444,6457,1060,1589,2504,2003,2502,776,39,63,62866,2823,4652,4.8,4.1,8.9,9,13.5,18.2,13.5,17.2,6.7,4.1,Medium,10.438930592020117,Low Poverty,3380,12.498613319528157,Low Degree Attainment,9.370262175054544,Low,90.62973782494545,1.0058055689087748,0.27363828,0,0.08874755,4.041711348592981,3.960359427578301,17.202233480013312,Medium,17,75
"Jackson County, Illinois",32.6,53176,39415,7721,68,1935,81,1462,2494,26334,26842,33764,17672,2293,4918,370,5633,1476,2283,5872,2880,5608,3479,955,1245,44847,11449,8637,10.4,7.9,13,9.9,12.6,15.5,10.3,10.6,4.7,5.1,Low,21.530389649465924,High Poverty,11287,21.22574093576049,Medium Degree Attainment,25.72589137956973,High,74.12178426357755,14.51970813901008,3.6388596359259817,0.1523243568527155,0.1278772378516624,2.749360613810742,4.690085752971266,16.24228975477659,Medium,17,77
"Jasper County, Illinois",44,9295,8970,22,0,12,3,68,220,4713,4582,4820,3115,476,776,77,2202,192,513,589,1171,972,351,50,14,67429,845,1552,4.3,3.6,7,5.9,17,19,12,18.3,9.4,3.5,Medium,9.090909090909092,Low Poverty,1387,14.92200107584723,Low Degree Attainment,3.4642280796126945,Low,96.5034965,0.2366863905325444,0.129101668,0.032275417,0,0.7315761161915008,2.366863905325444,16.697149004841314,Medium,17,79
"Jefferson County, Illinois",41.2,37043,31669,2406,88,394,6,166,2314,19097,17946,19950,11187,2064,3905,360,6695,1518,2948,4125,3471,2993,1300,285,117,58384,4980,6717,6,4.3,9.1,9.3,13.8,19.6,13.8,14.5,5.3,4.4,Medium,13.443835542477661,Low Poverty,4695,12.674459412034663,Low Degree Attainment,14.49126690602813,Medium,85.49253570175202,6.495154280160895,1.063628755770321,0.016197392219852603,0.2375617525578382,0.44812785141592204,6.246794266123154,18.13298059012499,Medium,17,81
"Jersey County, Illinois",42.8,21462,20568,151,0,127,38,33,545,10512,10950,12347,6946,1510,2207,160,4901,859,1167,1866,1974,2037,885,205,151,77607,1655,3136,4.7,2.5,7.7,7.9,8.8,17.6,13,18.6,9.7,9.5,High,7.711303699562016,Low Poverty,3278,15.273506662939148,Medium Degree Attainment,3.988444692945672,Low,95.83449818283478,0.7035690988724257,0.5917435467337621,0.17705712421955083,0,0.15376013419066256,2.539371913148821,14.61187214611872,Low,17,83
"Jo Daviess County, Illinois",50.8,21942,20798,175,33,125,16,119,676,11058,10884,11724,7483,1466,1915,171,5013,713,1211,2094,1839,3010,1236,229,135,67729,1689,3305,3.8,2.9,7.1,8.3,13.4,19,16.5,17,6,6.1,Medium,7.697566311,Low Poverty,4610,21.00993528393036,Medium Degree Attainment,5.140825814,Low,94.78625467140644,0.7975571962446449,0.5696837116033179,0.072919515,0.1503964998632759,0.5423388934463585,3.080849512350743,15.062437334791722,Medium,17,85
