"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"755","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"756","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"757","Older Adult","No Marriages","Low","Low Poverty","Medium"
"758","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"759","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"760","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"761","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"762","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"763","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"764","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"765","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"766","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"767","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"768","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"769","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"770","Mature Adult","Many Marriages","High","Low Poverty","Low"
"771","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"772","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"773","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"774","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"775","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"776","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"777","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"778","Adult","Many Marriages","High","Low Poverty","Low"
"779","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"780","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"781","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"782","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"783","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"784","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"785","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"786","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"787","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"788","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"789","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"790","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"791","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"792","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"793","Older Adult","No Marriages","Low","Low Poverty","Low"
"794","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"795","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"796","Older Adult","No Marriages","Low","Low Poverty","Low"
"797","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"798","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"799","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"800","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"801","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"802","Mature Adult","Low Marriages","High","Low Poverty","Low"
"803","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"804","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"805","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"806","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"807","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"808","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"809","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"810","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"811","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"812","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"813","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"814","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"815","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"816","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"817","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"818","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"819","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"820","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"821","Older Adult","Few Marriages","Low","Low Poverty","Low"
"822","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"823","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"824","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"825","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"826","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"827","Older Adult","Few Marriages","Low","Low Poverty","Low"
"828","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"829","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"830","Older Adult","Few Marriages","Low","Low Poverty","Low"
"831","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"832","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"833","Older Adult","Few Marriages","Low","Low Poverty","Low"
"834","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"835","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"836","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"837","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"838","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"839","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"840","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"841","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"842","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"843","Adult","Many Marriages","High","Low Poverty","Low"
"844","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"845","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"846","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"847","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"848","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"849","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"850","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"851","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"852","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"853","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"854","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"855","Mature Adult","Median Marriages","High","Low Poverty","Low"
"856","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"857","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"858","Older Adult","Few Marriages","Low","Low Poverty","Low"
"859","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"860","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"861","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"862","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"863","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"864","Older Adult","Few Marriages","Low","Low Poverty","Low"
"865","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"866","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"867","Older Adult","Few Marriages","Low","Low Poverty","Low"
"868","Mature Adult","High Marriages","High","Low Poverty","Low"
"869","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"870","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"871","Mature Adult","No Marriages","Low","Low Poverty","Low"
"872","Older Adult","Few Marriages","Low","Low Poverty","Low"
"873","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"874","Older Adult","Few Marriages","Low","Low Poverty","Low"
"875","Adult","Median Marriages","Low","Low Poverty","Low"
"876","Young","Many Marriages","Medium","Low Poverty","Low"
"877","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"878","Mature Adult","No Marriages","Low","Low Poverty","Low"
"879","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"880","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"881","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"882","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"883","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"884","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"885","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"886","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"887","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"888","Mature Adult","Many Marriages","High","Low Poverty","Low"
"889","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"890","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"891","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"892","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"893","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"894","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"895","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"896","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"897","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"898","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"899","Mature Adult","No Marriages","Low","Low Poverty","Low"
"900","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"901","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"902","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"903","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"904","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"905","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"906","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"907","Older Adult","No Marriages","Low","Low Poverty","Medium"
"908","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"909","Adult","Median Marriages","Low","Low Poverty","Medium"
"910","Older Adult","No Marriages","Low","Low Poverty","Medium"
"911","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"912","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"913","Adult","Many Marriages","High","Low Poverty","Low"
"914","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"915","Older Adult","No Marriages","Low","Low Poverty","Medium"
"916","Adult","Median Marriages","Low","Low Poverty","Low"
"917","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"918","Adult","Median Marriages","High","Low Poverty","Low"
"919","Adult","Median Marriages","High","Low Poverty","Low"
"920","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"921","Young","Median Marriages","High","Low Poverty","Low"
"922","Mature Adult","No Marriages","Low","Low Poverty","Low"
"923","Older Adult","No Marriages","Low","Low Poverty","Medium"
"924","Adult","Few Marriages","High","Low Poverty","Low"
"925","Mature Adult","No Marriages","Low","Low Poverty","Low"
"926","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"927","Older Adult","No Marriages","Low","Low Poverty","Medium"
"928","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"929","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"930","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"931","Mature Adult","No Marriages","High","Low Poverty","Low"
"932","Older Adult","No Marriages","Low","Low Poverty","Medium"
"933","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"934","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"935","Older Adult","No Marriages","Low","Low Poverty","Medium"
"936","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"937","Adult","No Marriages","Medium","Low Poverty","Low"
"938","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"939","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"940","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"941","Older Adult","No Marriages","Low","Low Poverty","Medium"
"942","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"943","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"944","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"945","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"946","Adult","Median Marriages","High","Low Poverty","Low"
"947","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"948","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"949","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"950","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"951","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"952","Mature Adult","No Marriages","Low","Low Poverty","Low"
"953","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"954","Older Adult","No Marriages","Low","Low Poverty","Medium"
"955","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"956","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"957","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"958","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"959","Mature Adult","No Marriages","Low","Low Poverty","Low"
"960","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"961","Older Adult","No Marriages","Low","Low Poverty","Low"
"962","Mature Adult","No Marriages","Low","Low Poverty","Low"
"963","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"964","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"965","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"966","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"967","Older Adult","No Marriages","Low","Low Poverty","Medium"
"968","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"969","Older Adult","No Marriages","Low","Low Poverty","Medium"
"970","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"971","Young","Many Marriages","High","Low Poverty","Low"
"972","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"973","Older Adult","No Marriages","Low","Low Poverty","Low"
"974","Older Adult","No Marriages","Low","Low Poverty","Medium"
"975","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"976","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"977","Mature Adult","High Marriages","High","Low Poverty","Low"
"978","Adult","Low Marriages","High","Low Poverty","Low"
"979","Mature Adult","Many Marriages","High","Low Poverty","Low"
"980","Mature Adult","No Marriages","Low","Low Poverty","Low"
"981","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"982","Older Adult","No Marriages","Low","Low Poverty","Medium"
"983","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"984","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"985","Mature Adult","No Marriages","High","Low Poverty","Low"
"986","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"987","Mature Adult","Few Marriages","Low","Low Poverty","Low"
"988","Older Adult","No Marriages","Low","Low Poverty","Low"
"989","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"990","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"991","Mature Adult","No Marriages","Low","Low Poverty","Low"
"992","Mature Adult","No Marriages","High","Low Poverty","Medium"
"993","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"994","Older Adult","No Marriages","Low","Low Poverty","Medium"
"995","Adult","Many Marriages","High","Low Poverty","Low"
"996","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"997","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"998","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"999","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1000","Mature Adult","Median Marriages","Medium","High Poverty","Medium"
"1001","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1002","Mature Adult","Low Marriages","Low","High Poverty","Medium"
"1003","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1004","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"1005","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1006","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1007","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1008","Mature Adult","Few Marriages","Low","High Poverty","High"
"1009","Mature Adult","Low Marriages","Low","High Poverty","Medium"
"1010","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1011","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1012","Mature Adult","Few Marriages","Low","Low Poverty","High"
"1013","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1014","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"1015","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1016","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1017","Mature Adult","Median Marriages","Low","High Poverty","Medium"
"1018","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1019","Adult","Many Marriages","High","Low Poverty","Medium"
"1020","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1021","Mature Adult","Few Marriages","Low","High Poverty","High"
"1022","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1023","Mature Adult","Few Marriages","Low","Low Poverty","High"
"1024","Older Adult","No Marriages","Low","High Poverty","Medium"
"1025","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1026","Older Adult","Few Marriages","Low","Low Poverty","High"
"1027","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1028","Mature Adult","Few Marriages","Low","High Poverty","High"
"1029","Mature Adult","High Marriages","High","Low Poverty","Low"
"1030","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1031","Mature Adult","Median Marriages","Low","High Poverty","High"
"1032","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1033","Mature Adult","No Marriages","High","High Poverty","Medium"
"1034","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1035","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1036","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1037","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1038","Mature Adult","Low Marriages","Low","High Poverty","Medium"
"1039","Older Adult","Few Marriages","Low","High Poverty","High"
"1040","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1041","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1042","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1043","Mature Adult","Low Marriages","Low","High Poverty","High"
"1044","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1045","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1046","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1047","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1048","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"1049","Mature Adult","Median Marriages","Medium","Low Poverty","High"
"1050","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1051","Mature Adult","High Marriages","High","Low Poverty","Low"
"1052","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1053","Mature Adult","Low Marriages","Low","High Poverty","Medium"
"1054","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1055","Mature Adult","Few Marriages","Low","High Poverty","High"
"1056","Mature Adult","Median Marriages","Low","High Poverty","Medium"
"1057","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1058","Mature Adult","Median Marriages","Low","High Poverty","Medium"
"1059","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1060","Mature Adult","No Marriages","Low","High Poverty","High"
"1061","Mature Adult","Few Marriages","Low","High Poverty","High"
"1062","Mature Adult","Low Marriages","Low","High Poverty","High"
"1063","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1064","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1065","Older Adult","Few Marriages","Low","Low Poverty","High"
"1066","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1067","Older Adult","Few Marriages","Low","Low Poverty","High"
"1068","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1069","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1070","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1071","Adult","Many Marriages","Low","Low Poverty","Medium"
"1072","Mature Adult","Few Marriages","Low","High Poverty","High"
"1073","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"1074","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1075","Mature Adult","Few Marriages","Medium","High Poverty","High"
"1076","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1077","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1078","Mature Adult","No Marriages","Low","High Poverty","High"
"1079","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1080","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1081","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1082","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1083","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1084","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1085","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1086","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1087","Mature Adult","Low Marriages","Low","Low Poverty","Medium"
"1088","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1089","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1090","Older Adult","No Marriages","Low","High Poverty","High"
"1091","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1092","Mature Adult","Median Marriages","Low","High Poverty","High"
"1093","Mature Adult","Median Marriages","Low","High Poverty","High"
"1094","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1095","Mature Adult","Median Marriages","Low","High Poverty","Medium"
"1096","Mature Adult","No Marriages","Low","High Poverty","Medium"
"1097","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1098","Adult","Median Marriages","Low","High Poverty","Medium"
"1099","Mature Adult","Few Marriages","Low","High Poverty","Medium"
"1100","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1101","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1102","Mature Adult","Low Marriages","Medium","Low Poverty","Low"
"1103","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"1104","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"1105","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"1106","Older Adult","Few Marriages","Medium","Low Poverty","High"
"1107","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"1108","Mature Adult","Few Marriages","Medium","Low Poverty","High"
"1109","Adult","Many Marriages","High","Low Poverty","Low"
"1110","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1111","Mature Adult","Low Marriages","Low","High Poverty","Medium"
"1112","Mature Adult","Few Marriages","Low","Low Poverty","High"
"1113","Mature Adult","Median Marriages","Low","High Poverty","Medium"
"1114","Mature Adult","No Marriages","Low","High Poverty","High"
"1115","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"1116","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1117","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1118","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1119","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1120","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1121","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"1122","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1123","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1124","Mature Adult","Many Marriages","High","High Poverty","Medium"
"1125","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1126","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1127","Mature Adult","No Marriages","Low","Low Poverty","Medium"
"1128","Mature Adult","Few Marriages","High","High Poverty","Low"
"1129","Mature Adult","Few Marriages","High","High Poverty","Low"
"1130","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1131","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1132","Adult","High Marriages","High","Low Poverty","Low"
"1133","Adult","Few Marriages","High","High Poverty","Low"
"1134","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1135","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1136","Mature Adult","Low Marriages","High","High Poverty","Low"
"1137","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"1138","Mature Adult","Many Marriages","High","High Poverty","Medium"
"1139","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1140","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1141","Mature Adult","High Marriages","High","Low Poverty","Medium"
"1142","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1143","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1144","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1145","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"1146","Adult","Median Marriages","High","High Poverty","Low"
"1147","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"1148","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1149","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1150","Adult","Median Marriages","High","High Poverty","Medium"
"1151","Mature Adult","High Marriages","High","High Poverty","Low"
"1152","Mature Adult","Many Marriages","High","High Poverty","Low"
"1153","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1154","Mature Adult","Low Marriages","High","Low Poverty","High"
"1155","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1156","Mature Adult","Few Marriages","High","High Poverty","Medium"
"1157","Mature Adult","Low Marriages","High","High Poverty","Low"
"1158","Mature Adult","Low Marriages","High","High Poverty","Medium"
"1159","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1160","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1161","Mature Adult","Few Marriages","High","High Poverty","High"
"1162","Mature Adult","Low Marriages","High","Low Poverty","Low"
"1163","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1164","Mature Adult","Many Marriages","High","High Poverty","Low"
"1165","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1166","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1167","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1168","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1169","Older Adult","No Marriages","High","High Poverty","Medium"
"1170","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"1171","Mature Adult","Low Marriages","High","High Poverty","Medium"
"1172","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"1173","Adult","Median Marriages","High","Low Poverty","Medium"
"1174","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1175","Mature Adult","Median Marriages","High","High Poverty","Medium"
"1176","Mature Adult","Median Marriages","High","Low Poverty","Low"
"1177","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"1178","Mature Adult","Few Marriages","High","Low Poverty","Low"
"1179","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"1180","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1181","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"1182","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"1183","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1184","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1185","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1186","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1187","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1188","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1189","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"1190","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"1191","Older Adult","Median Marriages","Low","Low Poverty","Low"
"1192","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1193","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"1194","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"1195","Older Adult","Many Marriages","Low","Low Poverty","Low"
"1196","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"1197","Mature Adult","High Marriages","High","Low Poverty","Low"
"1198","Mature Adult","High Marriages","High","Low Poverty","Low"
"1199","Mature Adult","Many Marriages","High","Low Poverty","Low"
"1200","Mature Adult","Median Marriages","High","Low Poverty","Low"
